Item,Priority,Title,Description,What needs to be done,Owner type,Effort estimate
6,Strategic critical,Source homepage stats,"""10X"", ""2 Wks"", ""4"" tiles on the homepage are unsourced. AI engines and quality raters discount unsourced proprietary claims.","Decide what backs each stat (case study link, methodology note, or replace with cited industry stat) and engineering wires it in.",Input needed (then code),1 hour
7,Strategic critical,Retarget homepage SEO,"""AI consulting agency"" SERP is owned by aggregator listicles. A brand homepage cannot rank for that query.","Pick a new target (branded + long-tail, e.g. ""Anthropic partner consulting Toronto"" or ""Claude implementation partner Canada""); engineering updates title, meta, OG copy.",Input needed (then code),1 hour
8,High,Comparison tables on 3 comparison blog posts,"Every ranking competitor on ""Claude vs ChatGPT"" / ""Claude vs Copilot"" / ""Private LLM vs Claude"" uses a structured HTML table. Alphabyte's posts are prose. Google AI Overviews and featured snippets prefer tables for comparison queries.","Confirm 4-6 column dimensions (e.g. integration, governance, deployment speed, cost model, best-for). Engineering drafts the tables.",Input needed (then code),2 hours
12,High,Explainer-first sections on remaining 3 tool pages,"/tools/mcp/ is now explainer-first (verified June 8). Same pattern still needed on /tools/claude/, /tools/custom-ai-agents/, /tools/on-premise-llm/. 7 of 10 SERP results for these queries are educational explainers.","Draft 300-500 word ""What is X?"" sections per tool. Engineering can draft if a subject-matter expert reviews.",Input needed (then code),2 hours
13,High,More sameAs URLs on Organization schema,"Organization schema currently only links LinkedIn. LLMs resolve entities by triangulating across multiple authoritative sources. Each additional URL reduces entity-confusion risk.","Supply URLs for Crunchbase profile, Canadian business registry, G2 / Clutch profiles (if any exist). Engineering wires them into src/app/layout.tsx.",Input needed (then code),15 min
14,High,Link Microsoft Partner + Anthropic Certified badges,"Both badges appear on /about/, /tools/claude/, and the homepage trust bar without verification links. Unverifiable claims read as fabricated to quality raters.","Provide directory URLs (Microsoft Partner directory listing + Anthropic Academy credential page). Engineering wires links across 3 locations.",Input needed (then code),20 min
16,Medium,5 net-new blog posts targeting dark pillars,"4 commercial pillars have zero supporting blog content: /services/data-readiness/, /services/executive-enablement/, /tools/custom-ai-agents/, /tools/on-premise-llm/. A 5th post would consolidate the governance cluster.","Author the 5 posts. Suggested titles in ACTION-PLAN.md item 16. Each: 5-10 hours.",Content authoring,40-50 hours total
17,Medium,Publish original Alphabyte data,"Every statistic across 10 blog posts is borrowed from McKinsey / Deloitte / Anthropic. Zero Alphabyte-originated data. Single highest-leverage improvement for AI citability and E-E-A-T.","Publish one piece of original data: median time-to-first-prod across engagements, % pilots that compound vs stall in our portfolio, average workflow count at 90 days, or similar. Could be a blog post or a recurring ""Alphabyte Index"" page.",Content authoring,4-6 hours
18,Medium,Named-client or titled testimonials on case studies,"All 4 case studies anonymize the client. Anonymous case studies read as fabricated to quality raters.","Get client permission for title-only attribution (""VP Operations, major reverse-logistics supplier"") plus one pull quote per case study.",Business / client outreach,4 hours
19,Medium,Stat-backed lede on /blog/why-ai-pilots-stall/,"Post opens with brand POV (""AI that compounds""). Ranking competitors open with the ""95% of AI pilots fail"" stat from McKinsey/IBM/Salesforce.","Rewrite first paragraph to lead with a sourced stat, then transition to the brand POV.",Content rewrite,30 min
25,Medium,Fix Adam Nameh's null thoughtleadership links,"4 entries in content/team/adam-nameh.json have href: null. Listed-but-unlinked items look broken.","Provide URLs for the LinkedIn article, whitepaper, resource guide, and ML case study, OR confirm engineering should remove the entries entirely.",Input needed (then code),15 min
26,Low,Build /why-alphabyte/ comparison page,"Targets ""AI consulting agency"" head term in the format Google rewards: comparison matrix (Alphabyte vs Big 4 vs freelancer vs offshore). Replaces homepage targeting that cannot rank.","Define the competitive POV (which dimensions matter, where Alphabyte wins, where Alphabyte doesn't). Engineering builds the page.",Input needed (then code),8-12 hours
29,Low,Wire Google Search Console + CrUX field data,"No real user CWV metrics today; only lab estimates. Wiring GSC unlocks real INP, LCP, CLS, indexation status, and search performance data.","Run python scripts/google_auth.py and supply Google API credentials. Future audits gain real user metrics.",External / dashboard,1-2 hours
34,Low,Whitelist AhrefsBot in Cloudflare,"Ahrefs reports ""Robots.txt not accessible"" because Cloudflare's bot management blocks AhrefsBot. Googlebot, Bingbot, and AI bots are unaffected. Only impact is incomplete Ahrefs crawls.","Cloudflare dashboard → Security → Bots → allowlist AhrefsBot in Bot Fight Mode / Super Bot Fight Mode.",External / dashboard,5 min
35,Low,Resolve /our-work/circular-economy-platform/ slug mismatch,"Slug suggests circular economy but the case study is about an executive productivity suite for a reverse logistics firm. Creates topical mismatch signal for crawlers.","Decide: (a) accept as legacy and leave alone, or (b) add a 301 redirect to /our-work/executive-productivity-suite/ with the new slug.",Input needed (then code),30 min if redirect
36,Low,Establish YouTube presence,"YouTube brand mentions have the highest known correlation with AI citation rates (~0.74). Alphabyte has no YouTube channel.","Create channel, record 3-5 short explainer videos matching the existing comparison blog posts, then add channel URL to Organization sameAs and llms.txt.",Business / content,20-40 hours
37,Medium,Cloudflare HTML cache rule,"HTML pages return cache-control: max-age=0, must-revalidate with cf-cache-status: DYNAMIC. Cloudflare bypasses its CDN cache entirely for HTML; every request hits the origin worker instead of edge.","Cloudflare Pages → Cache Rules: set s-maxage=31536000, stale-while-revalidate=60 on HTML responses. Add wrangler or API cache purge to the post-deploy step.",External / dashboard,30 min
38,Low,Automate IndexNow ping on deploy,"scripts/ping-indexnow.sh exists and works but isn't wired into the deploy pipeline. Manual pings get missed.","Add a step to Cloudflare Pages build hook or GitHub Actions that runs ping-indexnow.sh on successful production deploy.",External / dashboard,30 min
39,Low,Lighthouse CI in build pipeline,"No automated PageSpeed / CWV measurement today. Regressions in LCP / CLS are invisible between audits.","Add Lighthouse CI or a scripted PSI run as a GitHub Actions step. Fail builds on CWV regressions above threshold.",Engineering,1 hour
40,Medium,Add one third-party stat to each service page,"Citizen Dev, Executive Enablement, Discovery, and Data Readiness service pages cite zero McKinsey/Deloitte/Gartner data. AI engines have no extractable authoritative passage to cite when these pages appear in retrieval.","Add one sourced stat near the top of each service page (e.g. McKinsey AI adoption, Deloitte readiness gap, Gartner Hype Cycle). Engineering wires it in.",Content authoring,~1 hour per page (4 hours total)
41,Medium,Diversify McKinsey 72%/55% citation repetition,"The McKinsey ""72%/55%"" AI adoption stat appears verbatim in 3 separate blog posts (ai-governance-framework-mid-market, claude-vs-chatgpt-enterprise, shadow-ai-governance). Reads as templated boilerplate to quality raters and AI engines.","Replace 2 of 3 verbatim uses with different sources (Gartner, BCG AI Index, Stanford AI Index) or with Alphabyte-originated numbers from item 17.",Content rewrite,1 hour
42,Medium,Quantify case study stat widgets,"All 4 case study stat cells use qualitative values (""Citation-grade,"" ""Org-wide,"" ""Modular,"" ""Self-service""). These are not metrics. AI engines cannot cite them as evidence of outcomes. Media-buy-analytics has quantitative data in prose (hundreds of thousands of orders, multi-million-dollar spend decisions) that never surfaces as a stat widget.","Where client permission permits, replace one or more qualitative stat cells with real numbers (time-saved, workflow count, cost reduction, hours/week reclaimed). Coordinate with item 18.",Business / client outreach,2-4 hours
43,Low,Add code blocks or diagram to /blog/how-to-build-a-custom-mcp-server/,"A how-to guide with code-level detail renders as pure prose. No code blocks, no architecture diagram, no numbered steps. Reads as thin for its claimed purpose.","Add one architecture diagram + one or more code snippets + a numbered steps list.",Content rewrite,2-3 hours
